1,// overworld map
0,0,0
0,0,1
0,0,2
0,0,3
0,0,4
0,0,5
0,0,6
0,0,7
0,0,8
0,0,9
0,0,10
0,0,11
0,0,12
0,0,13
0,0,14
0,0,15
0,0,16
0,0,17
0,0,18
0,0,19
0,1,0
0,1,8
0,1,9
0,1,12
0,1,15
0,1,16
0,2,0
0,2,1
0,2,2
0,2,10
0,2,12
0,2,17
0,2,19
0,3,0
0,3,1
0,3,2
0,3,10
0,3,12
0,3,17
0,3,19
0,4,0
0,4,1
0,4,2
0,4,8
0,4,17
0,4,19
0,5,0
0,5,1
0,5,2
0,5,8
0,5,17
0,5,19
0,6,0
0,6,15
0,6,16
0,6,19
0,7,0
0,7,15
0,7,19
0,8,0
0,8,2
0,8,3
0,8,4
0,8,8
0,8,9
0,8,10
0,8,11
0,8,13
0,8,14
0,8,19
0,9,0
0,9,2
0,9,3
0,9,4
0,9,8
0,9,9
0,9,10
0,9,11
0,9,13
0,9,14
0,9,19
0,10,0
0,10,8
0,10,9
0,10,10
0,10,11
0,10,15
0,10,19
0,11,0
0,11,8
0,11,9
0,11,10
0,11,11
0,11,15
0,11,16
0,11,19
0,12,0
0,12,17
0,12,19
0,13,0
0,13,17
0,13,18
0,13,19
0,14,0
0,14,10
0,14,19
0,15,0
0,15,10
0,15,19
0,16,0
0,16,19
0,17,0
0,17,19
0,18,0
0,18,1
0,18,2
0,18,3
0,18,4
0,18,5
0,18,6
0,18,7
0,18,19
0,19,0
0,19,7
0,19,19
0,20,0
0,20,8
0,20,9
0,20,19
0,21,0
0,21,9
0,21,19
0,22,0
0,22,9
0,22,13
0,22,14
0,22,15
0,22,18
0,22,19
0,23,0
0,23,9
0,23,13
0,23,15
0,23,17
0,23,18
0,23,19
0,24,0
0,24,8
0,24,13
0,24,15
0,24,17
0,24,18
0,24,19
0,25,0
0,25,8
0,25,13
0,25,15
0,25,17
0,25,18
0,25,19
0,26,0
0,26,9
0,26,13
0,26,15
0,26,17
0,26,18
0,26,19
0,27,0
0,27,9
0,27,13
0,27,15
0,27,17
0,27,18
0,27,19
0,28,0
0,28,9
0,28,13
0,28,15
0,28,17
0,28,19
0,29,0
0,29,8
0,29,9
0,29,13
0,29,15
0,29,17
0,29,19
0,30,0
0,30,7
0,30,13
0,30,15
0,30,17
0,30,19
0,31,0
0,31,7
0,31,13
0,31,15
0,31,17
0,31,19
0,32,0
0,32,8
0,32,9
0,32,10
0,32,11
0,32,12
0,32,15
0,32,17
0,32,18
0,32,19
0,33,0
0,33,15
0,33,17
0,33,18
0,33,19
0,34,0
0,34,1
0,34,2
0,34,3
0,34,4
0,34,5
0,34,6
0,34,7
0,34,8
0,34,9
0,34,10
0,34,11
0,34,15
0,34,17
0,34,18
0,34,19
0,35,0
0,35,12
0,35,15
0,35,17
0,35,18
0,35,19
0,36,0
0,36,12
0,36,13
0,36,14
0,36,15
0,36,17
0,36,18
0,36,19
0,37,0
0,37,4
0,37,5
0,37,6
0,37,19
0,38,0
0,38,3
0,38,4
0,38,5
0,38,6
0,38,7
0,38,14
0,38,19
0,39,0
0,39,3
0,39,4
0,39,5
0,39,6
0,39,7
0,39,14
0,39,19
0,40,0
0,40,3
0,40,4
0,40,5
0,40,6
0,40,7
0,40,19
0,41,0
0,41,4
0,41,5
0,41,6
0,41,19
0,42,0
0,42,19
0,43,0
0,43,1
0,43,2
0,43,19
0,44,0
0,44,1
0,44,2
0,44,14
0,44,15
0,44,16
0,44,19
0,45,0
0,45,1
0,45,2
0,45,13
0,45,14
0,45,15
0,45,16
0,45,17
0,45,19
0,46,0
0,46,13
0,46,14
0,46,15
0,46,16
0,46,17
0,46,19
0,47,0
0,47,1
0,47,2
0,47,13
0,47,14
0,47,15
0,47,16
0,47,17
0,47,19
0,48,0
0,48,1
0,48,2
0,48,14
0,48,15
0,48,16
0,48,19
0,49,0
0,49,1
0,49,2
0,49,3
0,49,4
0,49,5
0,49,6
0,49,7
0,49,8
0,49,9
0,49,10
0,49,11
0,49,12
0,49,13
0,49,14
0,49,15
0,49,16
0,49,17
0,49,18
0,49,19
1,//Stage1
0,100,0
0,100,1
0,100,2
0,100,3
0,100,4
0,100,5
0,100,6
0,100,7
0,100,8
0,100,9
0,101,0
0,101,9
0,102,0
0,102,5
0,102,6
0,102,9
0,103,0
0,103,1
0,103,3
0,103,5
0,103,6
0,103,9
0,104,0
0,104,5
0,104,9
0,105,0
0,105,1
0,105,2
0,105,9
0,106,0
0,106,2
0,106,7
0,106,8
0,106,9
0,107,0
0,107,1
0,107,4
0,107,9
0,108,0
0,108,1
0,108,3
0,108,7
0,108,8
0,108,9
0,109,0
0,109,1
0,109,9
0,110,0
0,110,2
0,110,9
0,111,0
0,111,1
0,111,2
0,111,9
0,112,0
0,112,1
0,112,4
0,112,6
0,112,7
0,112,9
0,113,0
0,113,1
0,113,2
0,113,6
0,113,7
0,113,9
0,114,0
0,114,1
0,114,2
0,114,3
0,114,4
0,114,5
0,114,6
0,114,7
0,114,8
0,114,9
1,//stage2
0, 200, 4
0, 200, 5
0, 200, 7
0, 200, 8
0, 201, 3
0, 201, 5
0, 201, 6
0, 201, 9
0, 202, 1
0, 202, 3
0, 202, 9
0, 203, 2
0, 203, 4
0, 203, 5
0, 203, 9
0, 204, 0
0, 204, 2
0, 204, 4
0, 204, 9
0, 205, 0
0, 205, 2
0, 205, 3
0, 205, 9
0, 206, 0
0, 206, 2
0, 206, 9
0, 207, 0
0, 207, 9
0, 208, 1
0, 208, 9
0, 209, 0
0, 209, 9
0, 210, 1
0, 210, 9
0, 211, 0
0, 211, 9
0, 212, 1
0, 212, 3
0, 212, 4
0, 212, 5
0, 212, 9
0, 213, 1
0, 213, 3
0, 213, 4
0, 213, 5
0, 213, 9
0, 214, 0
0, 214, 4
0, 214, 9
0, 215, 0
0, 215, 2
0, 215, 9
0, 216, 0
0, 216, 9
0, 217, 0
0, 217, 9
0, 218, 0
0, 218, 9
0, 219, 1
0, 219, 9
0, 220, 1
0, 220, 9
0, 221, 1
0, 221, 9
0, 222, 1
0, 222, 9
0, 223, 1
0, 223, 9
0, 224, 2
0, 224, 3
0, 224, 4
0, 224, 5
0, 224, 6
0, 224, 7
0, 224, 8
1,//stage3
0, 301, 3
0, 301, 4
0, 301, 5
0, 301, 6
0, 301, 7
0, 301, 8
0, 301, 13
0, 301, 14
0, 301, 15
0, 301, 16
0, 301, 17
0, 302,  2
0, 302, 9
0, 302, 12
0, 302, 18
0, 303, 2
0, 303, 9
0, 303, 11
0, 303, 18
0, 304, 1
0, 304, 2
0, 304, 5
0, 304, 6
0, 304, 9
0, 304, 11
0, 304, 18
0, 305, 0
0, 305, 5
0, 305, 6
0, 305, 9
0, 305, 11
0, 305, 14
0, 305, 15
0, 305, 18
0, 305, 19
0, 305, 20
0, 305, 21
0, 305, 22
0, 305, 23
0, 305, 24
0, 306, 1
0, 306, 2
0, 306, 3
0, 306, 4
0, 306, 6
0, 306, 9
0, 306, 11
0, 306, 14
0, 306, 15
0, 306, 25
0, 307, 6
0, 307, 9
0, 307, 11
0, 307, 16
0, 307, 17
0, 307, 25
0, 308, 6
0, 308, 9
0, 308, 10
0, 308, 11
0, 308, 14
0, 308, 17
0, 308, 20
0, 308, 21
0, 308, 22
0, 308, 23
0, 308, 24
0, 309, 1
0, 309, 2
0, 309, 5
0, 309, 14
0, 309, 17
0, 309, 20
0, 310, 0
0, 310, 3
0, 310, 5
0, 310, 14
0, 310, 17
0, 310, 20
0, 311, 0
0, 311, 4
0, 311, 5
0, 311, 8
0, 311, 9
0, 311, 10
0, 311, 11
0, 311, 12
0, 311, 13
0, 311, 17
0, 311, 20
0, 312, 0
0, 312, 4
0, 312, 5
0, 312, 8
0, 312, 10
0, 312, 11
0, 312, 12
0, 312, 13
0, 312, 14
0, 312, 15
0, 312, 17
0, 312, 20
0, 313, 1
0, 313, 2
0, 313, 3
0, 313, 8
0, 313, 9
0, 313, 16
0, 313, 17
0, 313, 20
0, 314, 1
0, 314, 2
0, 314, 3
0, 314, 8
0, 314, 9
0, 314, 16
0, 314, 17
0, 314, 20
0, 315, 0
0, 315, 3
0, 315, 4
0, 315, 5
0, 315, 6
0, 315, 7
0, 315, 8
0, 315, 9
0, 315, 12
0, 315, 13
0, 315, 16
0, 315, 17
0, 315, 20
0, 316, 0
0, 316, 3
0, 316, 6
0, 316, 12
0, 316, 13
0, 316, 16
0, 316, 17
0, 316, 20
0, 317, 1
0, 317, 2
0, 317, 6
0, 317, 12
0, 317, 13
0, 317, 16
0, 317, 17
0, 317, 20
0, 317, 21
0, 317, 22
0, 317, 23
0, 318, 6
0, 318, 9
0, 318, 10
0, 318, 11
0, 318, 13
0, 318, 16
0, 318, 17
0, 318, 24
0, 319, 2
0, 319, 3
0, 319, 4
0, 319, 5
0, 319, 6
0, 319, 9
0, 319, 13
0, 319, 16
0, 319, 17
0, 319, 24
0, 320, 1
0, 320, 9
0, 320, 10
0, 320, 11
0, 320, 12
0, 320, 13
0, 320, 18
0, 320, 19
0, 320, 20
0, 320, 21
0, 320, 24
0, 321, 1
0, 321, 9
0, 321, 10
0, 321, 11
0, 321, 12
0, 321, 13
0, 321, 17
0, 321, 18
0, 321, 19
0, 321, 20
0, 321, 24
0, 322, 1
0, 322, 4
0, 322, 5
0, 322, 7
0, 322, 8
0, 322, 14
0, 322, 23
0, 323, 0
0, 323, 3
0, 323, 4
0, 323, 5
0, 323, 7
0, 323, 15
0, 323, 16
0, 323, 23
0, 324, 1
0, 324, 2
0, 324, 3
0, 324, 6
0, 324, 17
0, 324, 18
0, 324, 19
0, 324, 20
0, 324, 21
0, 324, 22
1,//final
0, 400, 0
0, 400, 1
0, 400, 2
0, 400, 3
0, 400, 4
0, 400, 5
0, 400, 6
0, 400, 7
0, 400, 8
0, 400, 9
0, 400, 10
0, 400, 11
0, 400, 12
0, 400, 13
0, 400, 14
0, 400, 15
0, 400, 16
0, 400, 17
0, 400, 18
0, 400, 19
0, 400, 20
0, 400, 21
0, 400, 22
0, 400, 23
0, 400, 24
0, 400, 25
0, 400, 26
0, 400, 27
0, 400, 28
0, 400, 29
0, 400, 30
0, 400, 31
0, 400, 32
0, 400, 33
0, 400, 34
0, 400, 35
0, 400, 36
0, 400, 37
0, 400, 38
0, 400, 39
0, 400, 40
0, 400, 41
0, 400, 42
